ID,NMI
1,0.1901501641473363
2,0.19053282361782267
3,0.23264627495651374
4,0.2340553212850395
5,0.21922117456105267
6,0.1654397193952305
7,0.2266299422579647
8,0.19518473384398122
9,0.22141493401804707
10,0.20700899543252482
11,0.2361916026158971
12,0.22099761357846656
13,0.23007458756491891
14,0.21111809835260772
15,0.22137421400599994
16,0.2157791484398003
17,0.23155033345102144
18,0.23417505394674973
19,0.20819612808151725
20,0.21051168316291205
21,0.22526775910753016
22,0.2223605272266078
23,0.22526291239614862
24,0.20658288684157483
25,0.20720209998654393
26,0.2204372863149916
27,0.20615509430738546
28,0.2203065449660602
29,0.19774482086893289
30,0.1902845617041175
31,0.19283362027086007
32,0.21540849731330947
33,0.18847327363067642
34,0.21760870654658657
35,0.17381018907284648
36,0.1897024516392487
37,0.18040332950791588
38,0.21635138798723158
39,0.20642886394423873
40,0.1920949038339471
41,0.1861692167989781
42,0.2234783688644346
43,0.22631064436320023
44,0.16627942742373683
45,0.19514102009116982
46,0.20410071552994147
47,0.20401377291541392
48,0.15399332774145813
49,0.2213826615177224
50,0.2002482737200447
51,0.2199774072826556
52,0.21698741594934454
53,0.21508628126996265
54,0.20258841690361273
55,0.22306896471939114
56,0.1920581945659795
57,0.17417015279585918
58,0.22767774980469632
59,0.23247026383475275
60,0.1769644581710448
61,0.22050388430907927
62,0.2233370511440153
63,0.22401629592447522
64,0.21668299145622846
65,0.20948962773599392
66,0.20707620185955203
67,0.21354635440344047
68,0.1730560836403038
69,0.1999310241188561
70,0.19216146745631385
71,0.22024205890561885
72,0.19870777579741564
73,0.2129170874487443
74,0.18985767456654576
75,0.2075278227081909
76,0.20244744209803925
77,0.22082772499203795
78,0.22136527730113734
79,0.09079842168855139
80,0.1901501641473363
81,0.4127056610511552
82,0.2096849391659866
83,0.2094821716282128
84,0.21097606431976018
85,0.21755116694593307
86,0.21973766350795876
87,0.22143835359827777
88,0.48877568955502726
89,0.22778196479424295
90,0.20192448189876408
91,0.19631968349308224
92,0.22780213575228955
93,0.2117379834522734
94,0.22837531761546043
95,0.22255061363852913
96,0.22939491414244592
97,0.10105990218848229
98,0.07121119796517954
99,0.05982785070275404
100,0.060224083469470516
101,0.07390835806134423
102,0.10941138772397178
