ID,PCC
1,0.890077321438247
2,0.8880636399558306
3,0.9121916610848179
4,0.9194231931079099
5,0.9094906836183835
6,0.8712634862462197
7,0.9149732387904382
8,0.8965013963511946
9,0.9112293916119906
10,0.8836523743934641
11,0.9195510233384931
12,0.9141582124313195
13,0.918803822008626
14,0.9044571123619128
15,0.9083407478415861
16,0.9091421772748222
17,0.9167172147895033
18,0.9111566022417251
19,0.9058702240940127
20,0.9075433899685836
21,0.9095261772913256
22,0.9121777843774668
23,0.902067136429165
24,0.8991149458283165
25,0.9039221096503826
26,0.8993723068493811
27,0.9011831954825962
28,0.902869457644746
29,0.8770330272503255
30,0.8876394824848503
31,0.8922323853852238
32,0.9070000617716115
33,0.8827896591254275
34,0.9112409671662905
35,0.8640429504380253
36,0.8910212112371291
37,0.8799096262498113
38,0.9110404356332111
39,0.9033494290028139
40,0.8825370372418141
41,0.8839734331522772
42,0.9114265872326852
43,0.9142603509933016
44,0.8668290419076986
45,0.8934473973381718
46,0.9014775222766394
47,0.9030030375579416
48,0.8285060295903987
49,0.9118874048782802
50,0.8975219475783073
51,0.9112355312153669
52,0.9126066983061081
53,0.9041697867552121
54,0.900621048496171
55,0.9133441495787703
56,0.8857235168662626
57,0.8679526216453857
58,0.9104016866207413
59,0.9169796740516789
60,0.8690472356432853
61,0.914698275608678
62,0.9127240762003827
63,0.9152266460786612
64,0.9022601936377246
65,0.9046009163808834
66,0.8967839279686299
67,0.9067975381979226
68,0.8689506288013051
69,0.8944812180931064
70,0.882084842708531
71,0.9064020396812776
72,0.9001948611693521
73,0.8897818553126001
74,0.8875645661996446
75,0.8976339239345595
76,0.8997223093084399
77,0.9101151102113842
78,0.9098129332492929
79,0.7698352198847916
80,0.890077321438247
81,0.73830820084894
82,0.905167403980754
83,0.9010467138997514
84,0.906353850224087
85,0.9109274378091176
86,0.9091818084454993
87,0.9151982065673858
88,0.9045560059931992
89,0.9087091988010366
90,0.8997609047521372
91,0.8968660230858598
92,0.9129383039833338
93,0.9036151018727989
94,0.9160473906718811
95,0.9141749701298182
96,0.9124463256122501
97,0.7830098121193921
98,0.7147748942851141
99,0.6832364723401362
100,0.6896869476118411
101,0.7250701000349755
102,0.7974713490374115
