ID,MI
1,0.5699225847595674
2,0.5845075665509085
3,0.6427779016355523
4,0.6776463968586565
5,0.615299298815444
6,0.5102740857610545
7,0.6647866117431998
8,0.5763805824696266
9,0.640043541667969
10,0.581898327787168
11,0.677807536963769
12,0.649015962539214
13,0.6769701873131109
14,0.6021507073673082
15,0.6259511907720962
16,0.6237215521570705
17,0.6525844835444147
18,0.6686400104404193
19,0.590594747258025
20,0.6313590832773398
21,0.6599354759304805
22,0.6547745279314797
23,0.649574404111527
24,0.5971883743585735
25,0.5753192617761714
26,0.6131336192667669
27,0.5809191430539571
28,0.6166632107748801
29,0.5815210644770619
30,0.5811743257408131
31,0.5808859614809875
32,0.6240724703175153
33,0.5663804190652231
34,0.636720092921197
35,0.5270640933978609
36,0.5844866068787375
37,0.5295481320042816
38,0.634731752921083
39,0.5933115883368738
40,0.5348767453823302
41,0.5433589124894223
42,0.6489737302216813
43,0.655051306971375
44,0.5115331155226023
45,0.5811580024028631
46,0.5964860223812615
47,0.6061493503887013
48,0.4525550698476562
49,0.6284600635811559
50,0.596736224771312
51,0.6581850019871781
52,0.6369928961930751
53,0.6220709686176104
54,0.580266395863138
55,0.6453780919073724
56,0.5585631162943566
57,0.5108963331117315
58,0.6428435460866101
59,0.6631658270541025
60,0.5363428257552205
61,0.6512908621216739
62,0.6410996217472064
63,0.654985337161984
64,0.6431144838380509
65,0.606647398739967
66,0.6083877975279189
67,0.6172925276859065
68,0.4705018500723216
69,0.5930675731511587
70,0.5693262794565572
71,0.6180413090206631
72,0.6015022682283491
73,0.6234486946818879
74,0.5514292078748287
75,0.5942465807916545
76,0.5786824812331357
77,0.6198299468427046
78,0.6615025002619487
79,0.31786612720281615
80,0.5699225847595674
81,2.665696912173495
82,0.6125478230225618
83,0.6251222824484837
84,0.6024754888992618
85,0.6032710200587811
86,0.5952906865276849
87,0.6360263411514852
88,2.4997407185490377
89,0.66078256501178
90,0.5753285753713534
91,0.5592929055116959
92,0.6265840617272413
93,0.6098815502772978
94,0.6624168598741452
95,0.641338177405114
96,0.6595526557237207
97,0.3033530226697752
98,0.20419132975415885
99,0.16054111168363125
100,0.16634802786428815
101,0.21585706491601775
102,0.3296606634254814
