ID,CC
1,752173195.5210536
2,598159202.8504214
3,746518494.6883335
4,767154798.4368625
5,616053684.6213814
6,570358016.4632006
7,698901389.4030151
8,605638719.8492463
9,825026179.1334956
10,598412226.2041035
11,783834288.3502338
12,795774357.672258
13,823584981.7162229
14,774097492.2234696
15,733044806.1303388
16,787553614.6408029
17,690889644.6142169
18,588050807.3918811
19,936699630.463869
20,841818728.8728017
21,882970750.5996438
22,788081766.009568
23,931010090.9397748
24,626630148.080257
25,720217697.5091401
26,665080513.2148585
27,615423424.9841859
28,640029811.7319717
29,717630231.0395498
30,684485281.5830969
31,829703471.2876581
32,660748743.1092008
33,817628642.6192502
34,736522438.1591055
35,669211397.4978067
36,675778085.9103556
37,596221013.1779667
38,735426968.067517
39,618039398.7876107
40,538090272.7984725
41,593731100.57921
42,690572301.2902516
43,760845674.4016945
44,549581508.5805981
45,644699246.6342564
46,690585012.2602563
47,721611025.9146302
48,501380326.28155863
49,689517461.5004301
50,658917973.3754554
51,853417775.5414106
52,696044360.748649
53,776933597.4107496
54,646289080.7751584
55,758998147.4554234
56,643763819.6809154
57,634596672.0124649
58,627986217.2098651
59,835899161.2731557
60,661390695.8638318
61,715131458.2237355
62,681041727.9637686
63,948721482.0367677
64,721786481.2135354
65,718442493.79167
66,683552761.167423
67,840520133.0405995
68,632605245.7297151
69,761210716.9803712
70,682079412.8191558
71,696622114.884917
72,746622956.1274662
73,692657631.7044314
74,660446809.5070152
75,679518979.1191771
76,669507149.7247446
77,644928100.42447
78,947793455.5068012
79,887975115.0740446
80,752173195.5210536
81,599438288.0189146
82,666014320.9483271
83,745117635.5590627
84,726458207.4345398
85,649597645.5819501
86,721835313.299118
87,897192671.3135031
88,590284770.5176573
89,744631559.7348279
90,693612057.5553128
91,725289267.5230273
92,728328540.3075205
93,607909200.709643
94,706488882.5184385
95,686586376.4835981
96,670090359.2184986
97,639356300.560111
98,504285150.47140056
99,407497145.4631228
100,435907022.0031632
101,531593798.7192503
102,658956543.4682107
